,Barridas ganadas,Intercepciones,Despejes,Despejes por alto,Regateado,Error que llevó al gol,Errores que terminan el disparo,Posesiones ganadas en el último tercio,Faltas cometidas,Barridas totales
0,0,1,2,,1,,,,0,0
1,1,1,0,,0,,,,1,1
3,0,0,1,,0,,,,0,0
6,0,0,0,,0,,,,0,0
12,3,1,2,,0,,,,1,4
15,1,0,1,,0,,,,1,1
16,0,1,1,,1,,,,1,0
19,1,0,2,,0,,,1,1,1
20,5,1,1,,1,,,,1,5
22,0,0,6,,1,,,,3,0
23,0,2,3,,0,,,,0,0
29,0,2,1,,2,,,,2,0
34,0,1,2,,0,,,,0,0
35,0,1,3,,0,,,,0,0
38,0,0,0,,0,,,,1,0
41,4,0,1,,0,,,,0,5
45,1,1,0,,1,,,,0,1
47,3,1,3,,1,,,,3,3
49,2,0,3,,0,,,,0,2
50,0,0,0,,0,,,,0,0
53,0,0,2,,2,,,,4,0
55,0,0,0,,0,,,,1,0
56,2,0,1,,0,,,,1,2
62,1,1,1,,0,,,,0,2
64,0,1,2,,0,,,,1,0
70,3,0,2,,1,,1,,0,4
72,0,0,4,,2,,,,2,0
73,0,0,0,,0,,,,0,0
76,1,0,4,,0,,1,,1,3
77,1,3,4,,1,,,,1,4
81,1,1,6,,0,,,,1,1
82,1,0,0,,0,,,,2,1
83,4,0,1,,3,,,,2,7
85,0,0,0,,0,,,,0,0
86,2,2,1,,0,,,,2,3
88,0,1,1,,1,,,,0,0
93,0,0,0,,0,,,1,1,0
96,0,1,10,,1,,,,0,0
99,0,1,0,,0,,,,1,0
102,0,0,1,,0,,,,0,0
103,2,3,3,,0,,,,2,2
107,0,0,1,,0,,,1,0,0
109,0,1,12,,0,,,,1,0
110,0,2,0,,0,,,,0,0
115,1,0,1,,0,,,,2,1
117,0,2,1,,0,,,1,2,0
122,2,0,8,,1,,,,3,3
124,1,0,1,,2,,,,1,2
126,2,0,0,,0,,,,0,2
129,0,0,6,,0,,,,0,0
130,0,0,0,,0,,,,0,0
131,0,0,0,,0,,,,0,0
136,2,1,1,,0,,,,1,3
137,2,0,1,,1,,,1,3,2
138,1,1,3,,0,,,,0,1
141,2,0,4,,1,,,2,2,2
152,1,1,3,,0,,,,1,2
153,1,0,0,,0,,,,0,1
155,0,1,10,,0,,,,0,0
161,1,0,0,,1,,,,0,3
166,2,0,2,,2,,,,1,3
167,0,1,4,,0,,,,1,0
172,1,0,2,,1,,,1,1,1
173,0,1,1,,0,,,,0,0
175,0,1,3,,1,,,,3,0
183,0,0,0,,0,,,,0,0
186,1,2,2,,0,,,,0,1
187,3,0,3,,0,,,,1,3
191,1,2,2,,0,,,1,1,3
192,1,1,7,,0,,,,0,1
199,1,0,0,,2,,,,1,3
200,2,0,3,,0,,,,0,2
208,0,0,1,,1,,,,0,0
209,2,3,9,,0,,,,1,3
212,2,0,0,,0,,,,1,4
213,0,1,5,,0,,,,1,0
215,1,1,3,,2,,,1,1,1
220,2,2,3,,0,,,,0,5
224,0,3,4,,1,1,,,1,0
225,1,0,4,,0,,,,0,1
227,2,1,8,,0,,,,1,4
236,0,0,2,,1,,,,0,0
239,0,0,0,,0,,,,0,0
243,0,0,3,,1,,,,3,0
244,1,2,3,,0,,,,1,2
247,2,0,0,,0,,,,0,2
248,0,0,0,,0,,,,0,0
252,0,0,0,,0,,,,0,0
253,0,1,1,,1,,,,0,0
254,0,0,0,,0,,,,0,0
255,0,0,0,,1,,,,1,0
261,0,1,0,,0,,,,0,0
262,0,0,0,,0,,,,0,0
264,3,1,3,,1,,,1,0,4
269,0,0,4,,0,,,,0,0
273,2,0,0,,2,,,,0,2
276,2,3,4,,3,,,,0,2
283,0,2,2,,0,,,,4,0
286,1,1,1,,2,,,,2,2
291,0,1,0,,1,,,,0,0
297,1,1,0,,0,,,,1,1
301,1,0,10,,0,,,,3,1
303,0,0,3,,2,,,,1,0
308,5,0,1,,0,,,1,1,5
313,1,0,3,,2,,,,0,1
314,2,0,6,,0,,,,1,2
315,0,0,2,,1,,,,1,0
317,4,1,1,,2,,,,1,4
320,0,0,1,,0,,,,0,0
327,0,1,6,,0,,,,2,0
329,0,4,7,,0,,,,2,0
330,0,0,2,,0,,,,0,0
333,1,3,4,,0,,,,1,1
334,1,1,2,,1,,,,2,2
335,1,1,3,,0,,,,1,3
337,0,3,7,,0,,,,0,0
339,1,0,2,,0,,,,1,1
342,1,0,0,,0,,,,0,1
348,0,0,2,,0,,,,1,0
350,2,1,2,,1,,,,0,2
354,0,0,9,,0,,,,0,0
355,1,0,0,,1,,,,0,1
357,0,0,0,,0,,,,0,0
359,0,1,1,,1,,,,0,0
365,1,0,1,,0,,,,1,5
373,0,0,1,,1,,,,2,0
374,2,0,4,,1,,,,2,3
377,0,2,3,,1,,,,0,0
378,0,0,8,,0,,,,0,0
379,1,2,2,,0,,,,3,1
382,0,0,0,,0,,,,0,0
386,3,0,1,,0,,,,0,3
387,3,0,1,,0,,,,1,3
388,0,0,1,,0,,,,0,0
390,0,0,1,,2,,,,1,0
391,0,1,0,,0,,,1,0,0
392,1,0,1,,0,,,,2,3
394,2,1,8,,0,,,,1,3
396,1,3,3,,0,,,,1,2
402,1,0,2,,0,,,1,2,1
408,0,1,0,,1,,,,0,0
410,0,0,5,,1,,,,1,0
412,3,1,3,,0,,,1,2,3
416,1,1,1,,0,,,1,0,1
420,1,2,7,,1,,,,0,1
425,1,1,1,,2,,1,,1,1
426,1,1,2,,0,1,1,,0,2
429,0,1,2,,1,,,,0,0
431,0,1,3,,1,,,,2,0
432,1,0,3,,0,,,,2,1
447,0,1,3,,0,,,,2,0
450,0,1,7,,2,,,,0,0
452,1,0,3,,0,,,,0,1
455,0,0,0,,0,,,,0,0
457,0,0,1,,0,,,,0,0
460,2,1,7,,1,,,,1,2
466,0,0,1,,0,,,,0,0
467,0,0,0,,0,,,,0,0
472,4,1,2,,1,,,,1,7
475,0,0,2,,0,,,,0,0
477,0,0,1,,0,,,,0,0
